anime_id,en_title,year
28479,Detective Conan Movie 19: The Sunflowers of Inferno,2015.0
2471,Doraemon,1979.0
240,Genshiken,2004.0
1301,Galaxy Express 999,1979.0
9065,Hakuoki: Demon of the Fleeting Blossom - Record of the Jade Blood,2010.0
3731,ItaKiss,2008.0
1412,Lupin III,1971.0
20785,The Irregular at Magic High School,2014.0
2985,Neuro: Supernatural Detective,2007.0
1483,,1998.0
10161,No. 6,2011.0
462,One Piece: Dead End Adventure,2003.0
5507,Valkyria Chronicles,2009.0
6444,Tegami Bachi: Letter Bee,2009.0
10715,Towanoquon: The Roaring Anxiety,2011.0
95,∀ Gundam,1999.0
8247,Bleach the Movie: Hell Verse,2010.0
20031,D-Frag!,2014.0
28669,Go! Princess Pretty Cure,2015.0
450,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002.0
32491,She and Her Cat: Everything Flows,2016.0
6624,The Garden of Sinners Remix: Gate of Seventh Heaven,2009.0
25015,Beyond the Boundary: I'll Be Here - Past,2015.0
331,Magical Circle Guru Guru,1994.0
23777,Attack on Titan: Wings of Freedom,2015.0
10278,THE IDOLM@STER,2011.0
2557,The Trapp Family Story,1991.0
24405,World Trigger,2014.0
4416,King of Braves GaoGaiGar Final Grand Glorious Gathering,2005.0
740,Sailor Moon R,1993.0
2213,,2004.0
371,Cardcaptor Sakura The Movie,1999.0
430,Fullmetal Alchemist: The Movie - Conqueror of Shamballa,2005.0
16528,Hal,2013.0
9288,,2010.0
6372,Eden of The East the Movie I: The King of Eden,2009.0
17,,2002.0
24439,Blood Blockade Battlefront,2015.0
1915,Magical Girl Lyrical Nanoha StrikerS,2007.0
323,Paranoia Agent,2004.0
2313,,1992.0
584,Noein: to your other self,2005.0
24543,Persona 3 the Movie: #3 Falling Down,2015.0
6634,Sengoku Basara: Samurai Kings 2,2010.0
355,Shakugan no Shana: Season I,2005.0
30549,,2015.0
1279,The Mysterious Cities of Gold,1982.0
10033,Toriko,2011.0
11531,UN-GO: Chapter of Inga,2011.0
